ep,t,cp,cv,theta_rad,theta_dot_rad,cp_fz,cv_fz,pd_fz,pv_fz,a,a_f,a_q,q0,q1,fz0,fz1,mu_cp_L,mu_cp_R,mu_cv_L,mu_cv_R,mu_pd_L,mu_pd_R,mu_pv_L,mu_pv_R,xi_top1,xi_top1_v,xi_top2,xi_top2_v,xi_top3,xi_top3_v
260,10,0.12731455266475677,0.02139268070459366,-0.08799855411052704,-0.011981965973973274,0.12731455266475677,0.02139268070459366,-0.7352837920188904,-0.005400739144533873,0,0,1,48.823699951171875,50.35210418701172,4.934911727905273,-4.934913635253906,0.24185806512832642,0.3173341453075409,0.23486824333667755,0.24463430047035217,0.400419145822525,0.004126428160816431,0.28189754486083984,0.2742093503475189,12,0.14526310563087463,13,0.14130134880542755,8,0.13946405053138733
260,11,0.12774240970611572,-0.1723642647266388,-0.0882381871342659,0.25169065594673157,0.12774240970611572,-0.1723642647266388,-0.7372860312461853,0.11344678699970245,0,0,1,48.121864318847656,49.626033782958984,4.890643119812012,-4.8906450271606445,0.24174188077449799,0.3174712359905243,0.2811465859413147,0.20247744023799896,0.401866614818573,0.00409006979316473,0.20455923676490784,0.3656604588031769,9,0.2094995379447937,1,0.15952567756175995,13,0.15087834000587463
260,12,0.12429512292146683,-0.36612266302108765,-0.08320437371730804,0.5152891874313354,0.12429512292146683,-0.36612266302108765,-0.6952253580093384,0.23226091265678406,0,0,1,48.295867919921875,49.5063362121582,4.837477684020996,-4.837479591369629,0.2426791936159134,0.3163672089576721,0.33255770802497864,0.1655999720096588,0.3719733953475952,0.004918364342302084,0.14318214356899261,0.47026365995407104,9,0.285823255777359,1,0.21924951672554016,13,0.14232812821865082
260,13,0.1169726699590683,-0.5599803924560547,-0.07289859652519226,0.7806358933448792,0.1169726699590683,-0.5599803924560547,-0.6091140508651733,0.3518630266189575,0,0,1,48.074440002441406,48.789058685302734,4.7372331619262695,-4.737235069274902,0.24467818439006805,0.3140290081501007,0.3887403905391693,0.13381975889205933,0.31442925333976746,0.0071044061332941055,0.09640058875083923,0.5840875506401062,9,0.3509586751461029,1,0.2734522223472595,13,0.12081380188465118
260,14,0.10577306151390076,-0.7540285587310791,-0.05728587508201599,1.0495219230651855,0.10577306151390076,-0.7540285587310791,-0.47865983843803406,0.4730604290962219,0,0,1,48.40972137451172,48.83103561401367,4.463311195373535,-4.463313102722168,0.2477560043334961,0.31047192215919495,0.4490874707698822,0.10683201253414154,0.23770703375339508,0.012094024568796158,0.06219498813152313,0.7008848786354065,9,0.3926873505115509,1,0.3133637607097626,13,0.09341516345739365
260,15,0.09069249033927917,-0.9483456611633301,-0.036295436322689056,1.3236865997314453,0.09069249033927917,-0.9483456611633301,-0.30327141284942627,0.5966371297836304,0,0,1,47.781898498535156,48.60776138305664,3.593043804168701,-3.593045234680176,0.25193941593170166,0.30571889877319336,0.5127289295196533,0.08424530923366547,0.1556001901626587,0.023576924577355385,0.03827188163995743,0.8119974732398987,9,0.3904842138290405,1,0.3217935562133789,13,0.0641595646739006
260,16,0.07172557711601257,-1.1429908275604248,-0.00982170645147562,1.6047935485839844,0.07172557711601257,-1.1429908275604248,-0.08206658810377121,0.723343014717102,0,0,1,49.67761993408203,49.77988052368164,1.0351110696792603,-1.0351123809814453,0.25726449489593506,0.2998010814189911,0.5785272121429443,0.06561417877674103,0.08434071391820908,0.050613995641469955,0.022337548434734344,0.9066761136054993,9,0.29480791091918945,1,0.25297975540161133,11,0.1769181787967682
260,17,0.04886575788259506,-1.337995171546936,0.022274164482951164,1.8943984508514404,0.04886575788259506,-1.337995171546936,0.18611478805541992,0.8538792133331299,1,1,1,25.96152687072754,50.98976135253906,-3.02176570892334,3.0217642784118652,0.26377618312835693,0.2927584648132324,0.6450890302658081,0.05046761408448219,0.03572029620409012,0.11372314393520355,0.01228727214038372,0.9730404615402222,11,0.3666224181652069,3,0.3303277790546417,9,0.11515563726425171
260,18,0.022105854004621506,-1.1431217193603516,0.06016213446855545,1.6087087392807007,0.022105854004621506,-1.1431217193603516,0.5026928186416626,0.725107729434967,1,1,1,28.9674072265625,52.77103805541992,-5.105658531188965,5.105657577514648,0.2715284526348114,0.28464028239250183,0.5785718560218811,0.06560288369655609,0.010989912785589695,0.250847190618515,0.022164221853017807,0.907806396484375,11,0.4298733174800873,3,0.4100714325904846,15,0.04874230921268463
260,19,-0.0007565789273940027,-0.9487600922584534,0.09233630448579788,1.3353707790374756,-0.0007565789273940027,-0.9487600922584534,0.771528422832489,0.6019036173820496,1,1,1,31.196582794189453,53.05873107910156,-5.474356651306152,5.474355697631836,0.278261661529541,0.2778129577636719,0.5128672122955322,0.08420158177614212,0.003511719638481736,0.42697572708129883,0.037455473095178604,0.8163963556289673,3,0.4076228737831116,11,0.40696558356285095,7,0.06692276149988174
